cylinders;displacement;horsepower;weight;acceleration;model_year;origin;mpg
8.00;307000.00;130000.00;3504000.00;12000.00;70.00;1.00;18000.00
8.00;350000.00;165000.00;3693000.00;11500.00;70.00;1.00;15000.00
8.00;318000.00;150000.00;3436000.00;11000.00;70.00;1.00;18000.00
8.00;304000.00;150000.00;3433000.00;12000.00;70.00;1.00;16000.00
8.00;302000.00;140000.00;3449000.00;10500.00;70.00;1.00;17000.00
8.00;429000.00;198000.00;4341000.00;10000.00;70.00;1.00;15000.00
8.00;454000.00;220000.00;4354000.00;9000.00;70.00;1.00;14000.00
8.00;440000.00;215000.00;4312000.00;8500.00;70.00;1.00;14000.00
8.00;455000.00;225000.00;4425000.00;10000.00;70.00;1.00;14000.00
8.00;390000.00;190000.00;3850000.00;8500.00;70.00;1.00;15000.00
8.00;383000.00;170000.00;3563000.00;10000.00;70.00;1.00;15000.00
8.00;340000.00;160000.00;3609000.00;8000.00;70.00;1.00;14000.00
8.00;400000.00;150000.00;3761000.00;9500.00;70.00;1.00;15000.00
8.00;455000.00;225000.00;3086000.00;10000.00;70.00;1.00;14000.00
4.00;113000.00;95000.00;2372000.00;15000.00;70.00;3.00;24000.00
6.00;198000.00;95000.00;2833000.00;15500.00;70.00;1.00;22000.00
6.00;199000.00;97000.00;2774000.00;15500.00;70.00;1.00;18000.00
6.00;200000.00;85000.00;2587000.00;16000.00;70.00;1.00;21000.00
4.00;97000.00;88000.00;2130000.00;14500.00;70.00;3.00;27000.00
4.00;97000.00;46000.00;1835000.00;20500.00;70.00;2.00;26000.00
4.00;110000.00;87000.00;2672000.00;17500.00;70.00;2.00;25000.00
4.00;107000.00;90000.00;2430000.00;14500.00;70.00;2.00;24000.00
4.00;104000.00;95000.00;2375000.00;17500.00;70.00;2.00;25000.00
4.00;121000.00;113000.00;2234000.00;12500.00;70.00;2.00;26000.00
6.00;199000.00;90000.00;2648000.00;15000.00;70.00;1.00;21000.00
8.00;360000.00;215000.00;4615000.00;14000.00;70.00;1.00;10000.00
8.00;307000.00;200000.00;4376000.00;15000.00;70.00;1.00;10000.00
8.00;318000.00;210000.00;4382000.00;13500.00;70.00;1.00;11000.00
8.00;304000.00;193000.00;4732000.00;18500.00;70.00;1.00;9000.00
4.00;97000.00;88000.00;2130000.00;14500.00;71.00;3.00;27000.00
4.00;140000.00;90000.00;2264000.00;15500.00;71.00;1.00;28000.00
4.00;113000.00;95000.00;2228000.00;14000.00;71.00;3.00;25000.00
6.00;232000.00;100000.00;2634000.00;13000.00;71.00;1.00;19000.00
6.00;225000.00;105000.00;3439000.00;15500.00;71.00;1.00;16000.00
6.00;250000.00;100000.00;3329000.00;15500.00;71.00;1.00;17000.00
6.00;250000.00;88000.00;3302000.00;15500.00;71.00;1.00;19000.00
6.00;232000.00;100000.00;3288000.00;15500.00;71.00;1.00;18000.00
8.00;350000.00;165000.00;4209000.00;12000.00;71.00;1.00;14000.00
8.00;400000.00;175000.00;4464000.00;11500.00;71.00;1.00;14000.00
8.00;351000.00;153000.00;4154000.00;13500.00;71.00;1.00;14000.00
8.00;318000.00;150000.00;4096000.00;13000.00;71.00;1.00;14000.00
8.00;383000.00;180000.00;4955000.00;11500.00;71.00;1.00;12000.00
8.00;400000.00;170000.00;4746000.00;12000.00;71.00;1.00;13000.00
8.00;400000.00;175000.00;5140000.00;12000.00;71.00;1.00;13000.00
6.00;258000.00;110000.00;2962000.00;13500.00;71.00;1.00;18000.00
4.00;140000.00;72000.00;2408000.00;19000.00;71.00;1.00;22000.00
6.00;250000.00;100000.00;3282000.00;15000.00;71.00;1.00;19000.00
6.00;250000.00;88000.00;3139000.00;14500.00;71.00;1.00;18000.00
4.00;122000.00;86000.00;2220000.00;14000.00;71.00;1.00;23000.00
4.00;116000.00;90000.00;2123000.00;14000.00;71.00;2.00;28000.00
4.00;79000.00;70000.00;2074000.00;19500.00;71.00;2.00;30000.00
4.00;88000.00;76000.00;2065000.00;14500.00;71.00;2.00;30000.00
4.00;71000.00;65000.00;1773000.00;19000.00;71.00;3.00;31000.00
4.00;72000.00;69000.00;1613000.00;18000.00;71.00;3.00;35000.00
4.00;97000.00;60000.00;1834000.00;19000.00;71.00;2.00;27000.00
4.00;91000.00;70000.00;1955000.00;20500.00;71.00;1.00;26000.00
4.00;113000.00;95000.00;2278000.00;15500.00;72.00;3.00;24000.00
4.00;97500.00;80000.00;2126000.00;17000.00;72.00;1.00;25000.00
4.00;97000.00;54000.00;2254000.00;23500.00;72.00;2.00;23000.00
4.00;140000.00;90000.00;2408000.00;19500.00;72.00;1.00;20000.00
4.00;122000.00;86000.00;2226000.00;16500.00;72.00;1.00;21000.00
8.00;350000.00;165000.00;4274000.00;12000.00;72.00;1.00;13000.00
8.00;400000.00;175000.00;4385000.00;12000.00;72.00;1.00;14000.00
8.00;318000.00;150000.00;4135000.00;13500.00;72.00;1.00;15000.00
8.00;351000.00;153000.00;4129000.00;13000.00;72.00;1.00;14000.00
8.00;304000.00;150000.00;3672000.00;11500.00;72.00;1.00;17000.00
8.00;429000.00;208000.00;4633000.00;11000.00;72.00;1.00;11000.00
8.00;350000.00;155000.00;4502000.00;13500.00;72.00;1.00;13000.00
8.00;350000.00;160000.00;4456000.00;13500.00;72.00;1.00;12000.00
8.00;400000.00;190000.00;4422000.00;12500.00;72.00;1.00;13000.00
3.00;70000.00;97000.00;2330000.00;13500.00;72.00;3.00;19000.00
8.00;304000.00;150000.00;3892000.00;12500.00;72.00;1.00;15000.00
8.00;307000.00;130000.00;4098000.00;14000.00;72.00;1.00;13000.00
8.00;302000.00;140000.00;4294000.00;16000.00;72.00;1.00;13000.00
8.00;318000.00;150000.00;4077000.00;14000.00;72.00;1.00;14000.00
4.00;121000.00;112000.00;2933000.00;14500.00;72.00;2.00;18000.00
4.00;121000.00;76000.00;2511000.00;18000.00;72.00;2.00;22000.00
4.00;120000.00;87000.00;2979000.00;19500.00;72.00;2.00;21000.00
4.00;96000.00;69000.00;2189000.00;18000.00;72.00;2.00;26000.00
4.00;122000.00;86000.00;2395000.00;16000.00;72.00;1.00;22000.00
4.00;97000.00;92000.00;2288000.00;17000.00;72.00;3.00;28000.00
4.00;120000.00;97000.00;2506000.00;14500.00;72.00;3.00;23000.00
4.00;98000.00;80000.00;2164000.00;15000.00;72.00;1.00;28000.00
4.00;97000.00;88000.00;2100000.00;16500.00;72.00;3.00;27000.00
8.00;350000.00;175000.00;4100000.00;13000.00;73.00;1.00;13000.00
8.00;304000.00;150000.00;3672000.00;11500.00;73.00;1.00;14000.00
8.00;350000.00;145000.00;3988000.00;13000.00;73.00;1.00;13000.00
8.00;302000.00;137000.00;4042000.00;14500.00;73.00;1.00;14000.00
